core_serial,details,mission_name,mission_flight,asds_attempts,asds_landings,block,original_launch,reuse_count,rtls_attempts,rtls_landings,water_landing,status
Merlin1A,Engine failure at T+33 seconds resulted in loss of vehicle,FalconSat,1.0,0,0,,2006-03-24 22:30:00+00:00,0,0,0,False,lost
Merlin2A,"Successful first-stage burn and transition to second stage, maximal altitude 289 km. Harmonic oscillation at T+5 minutes Premature engine shutdown at T+7 min 30 s. Failed to reach orbit.",DemoSat,2.0,0,0,,2007-03-21 01:10:00+00:00,0,0,0,False,lost
Merlin1C,Residual stage-1 thrust led to collision between stage 1 and stage 2.,Trailblazer,3.0,0,0,,2008-08-02 03:34:00+00:00,0,0,0,False,lost
Merlin2C,"Initially scheduled for 23–25 Sep, carried dummy payload – mass simulator, 165 kg (originally intended to be RazakSAT.",RatSat,4.0,0,0,,2008-09-28 23:15:00+00:00,0,0,0,False,lost
Merlin3C,,RazakSat,5.0,0,0,,2009-07-13 03:35:00+00:00,0,0,0,False,lost
B0003,Stage Expended,Falcon 9 Test Flight,6.0,0,0,1.0,2010-06-04 18:45:00+00:00,0,0,0,False,lost
B0004,First flight of Dragon,COTS 1,7.0,0,0,1.0,2010-12-08 15:43:00+00:00,0,0,0,False,lost
B0005,,COTS 2,8.0,0,0,1.0,2012-05-22 07:44:00+00:00,0,0,0,False,lost
B0006,Suffered engine out at T+1:19 but primary mission successful,CRS-1,9.0,0,0,1.0,2012-10-08 00:35:00+00:00,0,0,0,False,lost
B0007,,CRS-2,10.0,0,0,1.0,2013-03-01 19:10:00+00:00,0,0,0,False,lost
B1003,"First flight of Falcon 9 v1.1 upgrade, first Spacex flight from Vandenberg",CASSIOPE,11.0,0,0,1.0,2013-09-29 16:00:00+00:00,0,0,0,True,lost
B1004,,SES-8,12.0,0,0,1.0,2013-12-03 22:41:00+00:00,0,0,0,False,lost
B1005,,Thaicom 6,13.0,0,0,1.0,2014-01-06 18:06:00+00:00,0,0,0,False,lost
B1006,Broke up after sucessful water landing,CRS-3,14.0,0,0,1.0,2014-04-18 19:25:00+00:00,0,0,0,True,lost
B1007,Broke up after sucessful water landing,OG-2 Mission 1,15.0,0,0,1.0,2014-07-14 15:15:00+00:00,0,0,0,True,lost
B1008,,AsiaSat 8,16.0,0,0,1.0,2014-08-05 08:00:00+00:00,0,0,0,False,lost
B1011,,AsiaSat 6,17.0,0,0,1.0,2014-09-07 05:00:00+00:00,0,0,0,False,lost
B1010,Broke up after sucessful water landing,CRS-4,18.0,0,0,1.0,2014-09-21 05:52:00+00:00,0,0,0,True,lost
B1012,"Destroyed on impact with droneship, grid fin hydraulic fluid depleted",CRS-5,19.0,1,0,1.0,2015-01-10 09:47:00+00:00,0,0,0,False,lost
B1013,Broke up after sucessful water landing,DSCOVR,20.0,0,0,1.0,2015-02-11 23:03:00+00:00,0,0,0,True,lost
B1014,,ABS-3A / Eutelsat 115W B,21.0,0,0,1.0,2015-03-02 03:50:00+00:00,0,0,0,False,lost
B1015,Destroyed on impact with droneship due to excess lateral velocity - throttle stiction,CRS-6,22.0,1,0,1.0,2015-04-14 20:10:00+00:00,0,0,0,False,lost
B1016,,TürkmenÄlem 52°E / MonacoSAT,23.0,0,0,1.0,2015-04-27 23:03:00+00:00,0,0,0,False,lost
B1018,RUD at T + 139s - second stage overpressure event due to defective COPV strut heim joint,CRS-7,24.0,0,0,1.0,2015-06-28 14:21:00+00:00,0,0,0,False,lost
B1019,Retired; permanently displayed at Hawthorne headquarters. ,OG-2 Mission 2,25.0,0,0,1.0,2015-12-22 01:29:00+00:00,0,1,1,False,inactive
B1017,Destroyed after drone ship landing due to landing leg failure,Jason 3,26.0,1,0,1.0,2016-01-17 15:42:00+00:00,0,0,0,False,lost
B1020,"Destroyed on Impact with DroneShip (OCISLY) - Excess Velocity, Possible Fuel Exhaustion",SES-9,27.0,1,0,1.0,2016-03-04 23:35:00+00:00,0,0,0,False,lost
